"ID","GENERO","RENTA","EDAD","NIV_EDUC","E_CIVIL","COD_OFI","COD_COM","CIUDAD","D_Marzo","D_Abril","D_Mayo","D_Junio","D_Julio","D_Agosto","D_Septiembre","M_MOROSO","MONTO","SEGURO","FUGA"
1,"M",746476,39,"MED","CAS",68,213,"LOS ANGELES",0,38292,0,434357,1766,9110,340,2,2000000,"NO","NO FUGA"
2,"F",11901,49,"MED","VIU",16,89,"SANTIAGO",0,0,0,0,48,0,0,1,7500000,"SI","NO FUGA"
3,"M",1651421,39,"TEC","CAS",90,16,"ANTOFAGASTA",0,604169,0,0,323,26489,2925,1,8000000,"NO","NO FUGA"
4,"F",638969,36,"UNV","CAS",85,115,"SANTIAGO",0,5125,0,198998,94,0,105,1,2600000,"NO","NO FUGA"
5,"M",860113,44,"TEC","CAS",45,80,"SANTIAGO",0,11946,0,73959,149,0,272,1,6400000,"NO","NO FUGA"
6,"M",329463,40,"TEC","CAS",53,92,"SANTIAGO",0,187538,0,12008,641,118,154,2,7700000,"NO","FUGA"
7,"M",28732,45,"UNV","CAS",55,90,"SANTIAGO",559984,532706,0,0,1464,15600,1523,1,2900000,"NO","FUGA"
8,"F",11563,41,"TEC","SOL",47,112,"SANTIAGO",0,141317,0,525325,13,0,477,1,2100000,"SI","NO FUGA"
9,"F",3044549,33,"MED","CAS",22,1,"ARICA",0,102078,0,0,44,0,0,1,1600000,"NO","NO FUGA"
10,"F",3632707,39,"MED","VIU",27,89,"SANTIAGO",0,162658,0,445896,865,0,907,1,2800000,"NO","NO FUGA"
11,"F",2904507,46,"MED","CAS",41,103,"SANTIAGO",1308419,773273,0,543085,9603,0,1845,1,3700000,"NO","NO FUGA"
12,"F",81895,37,"TEC","CAS",139,90,"SANTIAGO",0,71058,0,0,40,0,0,1,1900000,"NO","NO FUGA"
13,"M",525874,48,"UNV","CAS",52,93,"SANTIAGO",222325,1055,0,0,597,0,0,1,1900000,"NO","FUGA"
14,"M",63148,43,"UNV","CAS",122,105,"SANTIAGO",0,203033,0,139614,205,404,555,1,4800000,"NO","FUGA"
15,"F",2620751,39,"TEC","VIU",80,110,"SANTIAGO",0,759881,0,94735,0,0,0,0,3300000,"NO","NO FUGA"
16,"M",35296,40,"MED","CAS",128,88,"SANTIAGO",0,0,0,0,181,0,0,1,1900000,"NO","FUGA"
17,"M",28267,45,"UNV","CAS",55,90,"SANTIAGO",0,197999,0,503706,326,0,5994,3,4000000,"SI","FUGA"
18,"M",808822,NA,"UNV","CAS",31,119,"SANTIAGO",0,14243,0,0,147,0,0,2,4500000,"NO","FUGA"
19,"M",47223,54,"UNV","CAS",152,88,"SANTIAGO",0,6266,0,2804,119,0,138,1,4800000,"NO","FUGA"
20,"F",23976,41,"MED","SOL",16,85,"SANTIAGO",0,42045,0,82508,434,0,50,1,1800000,"SI","NO FUGA"
21,"F",19886,54,"TEC","SOL",19,88,"SANTIAGO",0,300817,0,0,585,0,0,1,700000,"SI","NO FUGA"
22,"F",560302,47,"MED","CAS",138,1,"ARICA",0,0,0,0,9,0,0,1,2400000,"NO","FUGA"
23,"M",9394,51,"MED","CAS",31,119,"SANTIAGO",255678,134779,0,59821,1028,10366,9138,1,1100000,"NO","FUGA"
